13-Apr F,13-Apr-Data-1,13-Apr S,13-Apr-Data-2,13-Apr T,13-Apr-Data-3,13-Apr FO,13-Apr-Data-4,13-May F,13-May-Data-1,13-May S,13-May-Data-2,13-May T,13-May-Data-3,13-May FO,13-May-Data-4,13-Jun F,13-Jun-Data-1,13-Jun S,13-Jun-Data-2,13-Jun T,13-Jun-Data-3,13-Jun FO,13-Jun-Data-4,13-July F,13-July-Data-1,13-July S,13-July-Data-2,13-July T,13-July-Data-3,13-July FO,13-July-Data-4,13-Aug F,13-Aug-Data-1,13-Aug S,13-Aug-Data-2,13-Aug T,13-Aug-Data-3,13-Aug FO,13-Aug-Data-4,13-Sep F,13-Sep-Data-1,13-Sep,,13-Sep,,13-Sep,,13-Oct,,13-Oct,,13-Oct,,13-Oct,,13-Nov,,13-Nov,,13-Nov,,13-Nov,,13-Dec,,13-Dec,,13-Dec,,13-Dec,,14-Jan,,14-Jan,,14-Jan,,14-Jan,,14-Feb,,14-Feb,,14-Feb,,14-Feb,,14-Mar,,14-Mar,,14-Mar,,14-Mar,,14-Apr,,14-Apr,,14-Apr,,14-Apr,,14-May,,14-May,,14-May,,14-May,,14-Jun,,14-Jun,,14-Jun,,14-Jun,,14-Jul,,14-Jul,,14-Jul,,14-Jul,,Auguest 2014,,Auguest 2014,,Auguest 2014,,Auguest 2014,,14-Sep,,14-Sep,,14-Sep,,14-Sep,,14-Oct,,14-Oct,,14-Oct,,14-Oct,,14-Nov,,14-Nov,,14-Nov,,14-Nov,,14-Dec,,14-Dec,,14-Dec,,14-Dec,,15-Jan,,15-Jan,,15-Jan,,15-Jan,,15-Feb,,15-Feb,,15-Feb,,15-Feb,,15-Mar,,15-Mar,,15-Mar,,15-Mar,,15-Apr,,15-Apr,,15-Apr,,15-Apr,,15-May,,15-May,,15-May,,15-May,,15-Jun,,15-Jun,,15-Jun,,15-Jun,,15-Jul,,15-Jul,,15-Jul,,15-Jul,,Auguest 2015,,Auguest 2015,,Auguest 2015,,Auguest 2015,,15-Sep,,15-Sep,,15-Sep,,15-Sep,,15-Oct,,15-Oct,,15-Oct,,15-Oct,,15-Nov,,15-Nov,,15-Nov,,15-Nov,,15-Dec,,15-Dec,,15-Dec,,15-Dec,
,,,,,,,,,,,,,,,,,,,,China,1,,,,,,,,,Poland,2,,,,,,,Somalia,14,Belgium,1,Morocco,1,Ireland,2,Iran,2,United Kingdom,6,Oceans,1,Netherlands,3,Iran,4,,,,,Australia,1,Libya,1,,,,,Gaza Strip,2,Saudi Arabia,4,,,,,Bulgaria,3,Puerto Rico,1,Croatia,2,,,,,,,,,,,,,,,,,,,Puerto Rico,1,,,,,,,,,,,Cyprus,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mexico,2,,,,,,,Greece,2,,,,,,,,,Qatar,3,Libya,2,Gaza Strip,1,,,Norway,2,Czech Republic,5,United States,1,,,,,,,,,,,,,Hungary,1,Sri Lanka,4,Canada,3,Spain,3,,,,,Armenia,1,,,,,Greece,1,Hungary,1,,,,,Colombia,3,Czech Republic,4,,,Hungary,1,,,,,Philippines,1,Czech Republic,1,Germany,3,Indonesia,4,Israel,76,Spain,12,Austria,19,Hungary,18,Vietnam,3,Iraq,12,France,8,Lebanon,27,Sweden,4,Sri Lanka,1,Kosovo,3,Jordan,143,Somalia,3,Iran,3,Bahrain,3,Kosovo,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brazil,1,,,,,,,Armenia,2,Germany,23,Saudi Arabia,1,Japan,2,China,2,India,1,Northern Mariana Islands,2,,,Switzerland,4,,,,,Luxembourg,1,Switzerland,1,,,,,Central African Republic,1,Ukraine,1,,,,,Germany,2,,,Iran,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Italy,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Germany,8,,,,,,,,,,,,,,,,,Canada,14,Mali,1,,,,,Libya,1,,,Greece,1,,,,,,,,,,,,,Germany,4,China,1,Denmark,2,Uruguay,3,,,,,Libya,3,,,,,Gaza Strip,1,Luxembourg,1,,,,,Afghanistan,6,Hungary,1,,,Iran,1,,,,,Hungary,1,Russia,3,Eritrea,2,Netherlands,3,Oceans,8,Qatar,8,France,18,Italy,7,Ireland,1,Belgium,2,Namibia,4,Pakistan,1,Oceans,3,Ireland,5,Cuba,18,Egypt,29,Hungary,11,Congo,2,Colombia,1,Brazil,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kuwait,5,,,,,,,Azerbaijan,1,United Arab Emirates,2,Netherlands,2,Georgia,4,Brazil,1,Saudi Arabia,4,Mexico,1,,,Japan,1,,,,,Egypt,2,,,,,,,Iran,1,Egypt,1,,,,,South Africa,2,,,Japan,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Netherlands,2,,,,,,,,,,,,,,,,,New Zealand,4,Sierra Leone,1,,,,,,,,,Germany,1,,,,,,,,,,,,,Central African Republic,1,,,Czech Republic,1,South Korea,1,,,,,South Sudan,1,,,,,Kenya,1,,,,,,,Congo,2,Austria,1,,,,,,,,,,,Japan,1,Saudi Arabia,4,Eritrea,6,Yemen,7,Austria,22,Spain,13,Norway,13,Honduras,1,Gaza Strip,6,Egypt,2,Poland,6,Venezuela,1,Guernsey,1,Poland,2,Oceans,2,Sweden,4,Spain,1,Bangladesh,1,Bulgaria,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somalia,1,,,,,,,Greece,1,Sweden,31,Brazil,4,Denmark,1,Yemen,1,Azerbaijan,1,Gaza Strip,1,,,Austria,1,,,,,,,,,,,,,Spain,1,Armenia,2,,,,,Iran,2,,,Bahrain,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oceans,1,,,,,,,,,,,,,,,,,Armenia,2,South Korea,1,,,,,,,,,West Bank,1,,,,,,,,,,,,,Belarus,1,,,Netherlands,15,United Arab Emirates,3,,,,,Nepal,1,,,,,Nepal,2,,,,,,,South Korea,4,,,,,,,,,,,,,,,Macedonia,3,Burundi,2,Afghanistan,9,Venezuela,13,South Korea,3,Tunisia,1,Montenegro,1,Eritrea,2,Iran,5,Afghanistan,2,Panama,2,Serbia,6,Oceans,3,Saudi Arabia,7,Italy,1,Cuba,4,Mexico,7,Bangladesh,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Czech Republic,1,,,,,,,Bulgaria,1,Egypt,17,Greece,3,Finland,4,,,Italy,4,Belarus,1,,,Armenia,2,,,,,,,,,,,,,Ireland,1,,,,,,,Greece,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New Zealand,1,,,,,,,,,,,,,,,,,Denmark,1,Qatar,2,,,,,,,,,Kosovo,2,,,,,,,,,,,,,Austria,1,,,Luxembourg,4,Austria,1,,,,,France,9,,,,,,,,,,,,,West Bank,2,,,,,,,,,,,,,,,Bulgaria,1,Russia,1,Kenya,3,India,4,Slovenia,6,Oman,1,Austria,6,Nigeria,1,China,5,Austria,1,Jersey,2,Hungary,10,Pakistan,2,Germany,56,Bolivia,1,Somalia,2,Afghanistan,7,Iran,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qatar,3,Iceland,2,Albania,2,West Bank,2,,,Germany,2,Yemen,1,,,West Bank,1,,,,,,,,,,,,,Qatar,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ireland,2,,,,,,,,,,,,,,,,,Albania,2,Kuwait,2,,,,,,,,,Congo,1,,,,,,,,,,,,,Uganda,1,,,Nepal,1,,,,,,,Sierra Leone,4,,,,,,,,,,,,,Saudi Arabia,1,,,,,,,,,,,,,,,,,Antigua and Barbuda,4,Ireland,10,Denmark,10,Iran,7,United Arab Emirates,7,Malaysia,11,Greece,18,Oceans,3,Sudan,1,Macedonia,4,Switzerland,1,Myanmar,6,Turkmenistan,3,New Zealand,1,Russia,5,Ukraine,1,China,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Libya,1,Pakistan,2,France,5,New Zealand,1,,,,,,,,,,,,,,,,,,,,,,,United Arab Emirates,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Japan,2,,,,,,,,,,,,,,,,,Norway,3,,,,,,,,,,,,,,,,,,,,,,,,,Ireland,1,,,Gaza Strip,1,,,,,,,Kuwait,18,,,,,,,,,,,,,Luxembourg,2,,,,,,,,,,,,,,,,,Norway,3,France,20,Egypt,42,Netherlands,4,Egypt,11,Pakistan,2,Hungary,5,Croatia,2,Brazil,5,Ukraine,7,United Arab Emirates,1,Italy,3,Haiti,5,Armenia,5,Hungary,3,Saudi Arabia,6,Jersey,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lithuania,1,Venezuela,2,Iran,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spain,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brazil,1,,,Austria,1,,,,,,,Canada,3,,,,,,,,,,,,,Russia,2,,,,,,,,,,,,,,,,,Canada,1,Sudan,2,North Korea,3,Eritrea,3,Belgium,13,Denmark,1,Kuwait,5,Hungary,1,Bulgaria,1,Somalia,1,Malta,6,Bhutan,1,Philippines,1,Israel,12,Gaza Strip,3,Cyprus,2,Mexico,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Afghanistan,1,Romania,1,Congo,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South Korea,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saudi Arabia,1,,,,,,,Senegal,2,,,,,,,,,,,,,Hungary,2,,,,,,,,,,,,,,,,,Iceland,1,Libya,6,South Korea,2,Oceans,4,Haiti,1,Qatar,3,Egypt,33,Austria,4,Kosovo,5,Ireland,2,China,1,Niger,2,Russia,23,Belgium,1,Nepal,3,Sudan,1,Australia,11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ireland,2,India,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armenia,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Iran,1,,,,,,,Burundi,4,,,,,,,,,,,,,Tanzania,8,,,,,,,,,,,,,,,,,Oceans,4,Uganda,2,Czech Republic,7,Chad,1,Switzerland,4,Mexico,4,Norway,4,Sudan,6,Saudi Arabia,6,Austria,1,Italy,3,Georgia,7,Jersey,5,Iran,4,Chad,1,New Zealand,2,Somalia,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Iran,4,Pakistan,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Belgium,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pakistan,2,,,,,,,,,,,,,,,,,Egypt,1,Spain,11,Bahrain,73,Brazil,8,Kuwait,3,Sweden,2,Italy,8,Ukraine,1,Slovenia,2,Denmark,2,Austria,3,Portugal,2,Israel,19,Serbia,3,Mali,2,Yemen,2,Sudan,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kuwait,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United Arab Emirates,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Belgium,1,,,,,,,,,,,,,,,,,Qatar,1,United Arab Emirates,31,Cyprus,11,Cuba,9,Albania,1,Belgium,10,Ireland,1,Malta,2,Italy,2,Russia,2,Libya,1,Rwanda,2,Portugal,6,Ireland,1,Kosovo,26,Belgium,10,New Zealand,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kosovo,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qatar,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Australia,1,,,,,,,,,,,,,,,,,,,Russia,4,Kuwait,16,Ukraine,6,Japan,9,Bhutan,1,South Africa,2,Switzerland,1,Croatia,1,Croatia,1,Hong Kong,1,Ireland,9,Jamaica,2,Australia,5,Uganda,5,Iran,4,Ethiopia,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Libya,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bangladesh,1,,,,,,,,,,,,,,,,,,,Brazil,7,Macedonia,9,Israel,43,Sweden,4,Oman,1,New Zealand,2,Czech Republic,1,China,2,Afghanistan,5,Czech Republic,1,Micronesia,1,Macedonia,8,Libya,1,Saudi Arabia,5,Netherlands,3,Malaysia,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Argentina,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Austria,1,,,,,,,,,,,,,,,,,,,Netherlands,3,Switzerland,9,Switzerland,6,Yemen,1,Macedonia,1,Latvia,1,Finland,4,France,12,Serbia,2,Sweden,2,Russia,11,Kuwait,5,Switzerland,4,Vietnam,5,Austria,8,Austria,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spain,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Switzerland,1,,,,,,,,,,,,,,,,,,,Estonia,1,China,12,South Africa,8,Oceans,6,Libya,3,Armenia,1,Australia,1,Sweden,7,Thailand,2,Saudi Arabia,2,Belgium,5,Brazil,1,Slovenia,1,Croatia,1,Croatia,1,Japan,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Morocco,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Central African Republic,1,,,,,,,,,,,,,,,,,,,Czechoslovakia,1,Ireland,17,Ireland,3,Eritrea,3,Argentina,1,United Arab Emirates,2,Bosnia-Herzegovina,1,Malaysia,2,China,3,Uruguay,1,China,4,Georgia,2,Iceland,1,Italy,4,Zambia,1,Qatar,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Netherlands,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somalia,2,,,,,,,,,,,,,,,,,,,Egypt,24,Philippines,6,Libya,3,Ireland,10,Dominican Republic,1,Serbia,1,Slovenia,2,Iran,5,Albania,3,Kuwait,9,Iceland,3,Armenia,3,South Africa,1,Belgium,2,Sri Lanka,1,Libya,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,China,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Serbia,4,Saudi Arabia,45,United Arab Emirates,7,Costa Rica,2,Eritrea,2,Hong Kong,2,Serbia,1,United Arab Emirates,2,Saudi Arabia,1,Slovenia,1,Serbia,3,Poland,5,Macedonia,3,Philippines,3,Sweden,2,Philippines,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qatar,6,Luxembourg,8,Philippines,7,Pakistan,3,Czech Republic,1,Bulgaria,3,Uruguay,2,Armenia,1,Norway,1,Uganda,1,Congo,4,Bosnia-Herzegovina,8,Vietnam,4,Pakistan,1,Eritrea,1,Rwanda,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Portugal,3,Russia,19,Iraq,28,Mexico,7,Brazil,2,,,,,Ireland,2,,,India,2,Panama,1,Hungary,2,Pakistan,6,Mexico,1,Egypt,2,Armenia,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Croatia,2,Oceans,5,Cambodia,1,New Zealand,1,West Bank,1,,,,,Iceland,1,,,Somalia,3,Qatar,1,Denmark,1,Bulgaria,2,Japan,1,Cote dIvoire,2,Ukraine,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Niger,1,Argentina,6,Denmark,5,Czechoslovakia,4,Nigeria,1,,,,,Serbia,4,,,Nigeria,2,Philippines,26,Ethiopia,2,Guam,1,Czech Republic,2,Italy,2,Hungary,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vietnam,12,Chile,8,Poland,3,Argentina,2,France,5,,,,,Mexico,1,,,Vietnam,2,Venezuela,1,Antarctica,1,Philippines,1,Haiti,1,Ethiopia,1,Oceans,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Switzerland,12,Jersey,7,Rwanda,1,Vietnam,9,China,1,,,,,Vietnam,2,,,Qatar,1,Bulgaria,1,Sweden,22,Afghanistan,1,Bahrain,3,Denmark,1,Zimbabwe,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Argentina,4,Poland,3,Vietnam,1,Romania,1,Japan,3,,,,,Brunei,1,,,Macedonia,1,Jersey,7,Yemen,4,Portugal,1,Malta,1,Puerto Rico,1,Slovenia,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uruguay,31,Libya,2,Somalia,4,Malta,1,Serbia,3,,,,,Ukraine,2,,,,,Ethiopia,3,Iran,7,Liberia,3,Kazakhstan,1,Kuwait,3,Egypt,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,China,4,Afghanistan,3,Malta,1,Czech Republic,2,Iceland,1,,,,,Denmark,1,,,,,India,3,Kosovo,16,Egypt,2,Eritrea,1,Switzerland,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Denmark,3,Papua New Guinea,9,China,9,Kosovo,2,Croatia,2,,,,,,,,,,,Ukraine,2,Uganda,10,Lithuania,1,New Zealand,2,Uganda,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Congo,1,Norway,16,Czech Republic,2,Poland,1,,,,,,,,,,,,,Somalia,3,China,4,Sudan,1,Kuwait,1,India,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armenia,1,Morocco,2,Croatia,12,Macedonia,6,,,,,,,,,,,,,Netherlands,2,Singapore,2,Nigeria,1,Uzbekistan,1,Sierra Leone,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Poland,5,Japan,13,Serbia,6,Afghanistan,4,,,,,,,,,,,,,Sweden,4,India,2,India,1,Guyana,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Norway,4,Pakistan,7,Gaza Strip,4,Algeria,1,,,,,,,,,,,,,Armenia,4,Eritrea,1,Thailand,2,West Bank,2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tunisia,2,Iceland,11,Czechoslovakia,4,Luxembourg,2,,,,,,,,,,,,,South Korea,1,Netherlands,2,,,India,1,,,,
